month,boutique,market,region,location_type,division,category,monthly_sales_target,traffic_target,conversion_target,clienteling_target
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,2558582.61,2497,0.256,320
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,777082.44,2125,0.349,272
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,629882.61,1713,0.184,549
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,396261.38,1222,0.195,523
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,229488.7,3589,0.259,557
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,626392.52,2255,0.221,521
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1684550.93,1085,0.335,500
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,631020.08,4437,0.211,299
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,335215.11,1232,0.332,368
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,639849.11,4376,0.235,314
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,2701774.72,3091,0.272,171
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,710450.21,4615,0.348,443
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,540197.0,1420,0.193,342
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,464911.63,1260,0.286,510
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,259398.01,3537,0.288,561
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,775228.43,2416,0.324,138
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1975035.68,2014,0.199,476
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,571940.06,1165,0.298,570
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,337716.63,2144,0.282,352
2025-02,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,747581.01,3503,0.258,231
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,2862038.53,4316,0.226,414
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,829333.03,4750,0.298,367
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,676763.54,4459,0.217,596
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,434910.89,4208,0.205,565
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,244453.6,1767,0.25,472
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,781406.15,2790,0.256,333
