month,boutique,market,region,location_type,sales_advisor,sales_amount,target_amount,attainment_pct,clienteling_score,return_adjustment,bonus_eligible,estimated_payout,payout_status,exception_flag,exception_reason
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 1,262645.03,205534.47,1.2779,0.3438,0.0,Yes,3939.68,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 10,364376.7,305046.18,1.1945,0.3704,0.0,Yes,5465.65,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 11,278552.84,252394.59,1.1036,0.2895,4178.29,Yes,0.0,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 12,673476.1,800554.62,0.8413,0.3488,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 13,282751.79,270572.07,1.045,0.1071,0.0,No,0.0,Review,Yes,Clienteling score below threshold
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 14,495199.98,454081.28,1.0906,0.1765,0.0,Yes,5942.4,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 15,682802.3,583508.93,1.1702,0.36,0.0,Yes,10242.03,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 16,443537.74,400204.62,1.1083,0.2381,0.0,Yes,6653.07,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 17,444051.69,422849.56,1.0501,0.3488,6660.78,No,0.0,Review,Yes,Return adjustment review
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 18,377981.09,394438.34,0.9583,0.4194,0.0,Yes,4535.77,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 2,255029.87,231391.38,1.1022,0.2162,0.0,Yes,3825.45,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 3,420053.33,400821.55,1.048,0.3714,0.0,Yes,5040.64,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 4,396721.55,478153.7,0.8297,0.2857,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 5,350657.31,356289.81,0.9842,0.2857,5259.86,Yes,0.0,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 6,572965.84,576664.29,0.9936,0.3125,0.0,Yes,6875.59,Ready,No,Payout ready
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 7,449172.98,493769.54,0.9097,0.3571,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 8,403208.77,538645.88,0.7486,0.3793,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 9,299257.02,308017.92,0.9716,0.275,0.0,Yes,3591.08,Ready,No,Payout ready
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 1,377676.11,415183.42,0.9097,0.2727,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 10,382532.14,365757.71,1.0459,0.1765,0.0,Yes,4590.39,Ready,No,Payout ready
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 2,305788.81,261884.91,1.1676,0.3538,0.0,Yes,4586.83,Ready,No,Payout ready
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 3,288578.76,444428.78,0.6493,0.3333,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 4,466147.74,490819.09,0.9497,0.3036,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 5,413974.59,392460.9,1.0548,0.2353,0.0,Yes,4967.7,Ready,No,Payout ready
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 6,401697.67,357669.53,1.1231,0.3906,0.0,Yes,6025.47,Ready,No,Payout ready
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 7,505975.54,597027.74,0.8475,0.2419,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 8,439947.89,358568.28,1.227,0.24,0.0,Yes,6599.22,Ready,No,Payout ready
2025-01,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 9,311625.08,330005.9,0.9443,0.2,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 1,477953.92,453732.49,1.0534,0.359,0.0,Yes,5735.45,Ready,No,Payout ready
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 10,381493.22,417403.54,0.914,0.2885,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 11,287260.02,249116.18,1.1531,0.3125,0.0,Yes,4308.9,Ready,No,Payout ready
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 12,284953.66,354821.54,0.8031,0.2909,4274.3,No,0.0,Review,Yes,Below payout threshold
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 2,430702.02,434239.41,0.9919,0.4528,0.0,Yes,5168.42,Ready,No,Payout ready
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 3,331108.43,383664.8,0.863,0.3269,4966.63,No,0.0,Review,Yes,Near threshold review
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 4,475141.33,406354.65,1.1693,0.3182,0.0,Yes,7127.12,Ready,No,Payout ready
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 5,352939.1,311577.93,1.1327,0.2245,5294.09,Yes,0.0,Ready,No,Payout ready
